"word","mRT","accuracy"
"Bulgarian",810.214285714286,0.875
"Bunyan",887.833333333333,0.545454545454545
"Burbank",808.935483870968,0.911764705882353
"Burma",808.758620689655,0.852941176470588
"Burmese",817.608695652174,0.676470588235294
"Burt",705.448275862069,0.878787878787879
"Bushman",752.178571428571,0.848484848484849
"Byron",785.379310344828,0.852941176470588
"Byzantine",795.95,0.588235294117647
"Byzantium",907.05,0.588235294117647
"Cadillac",733.266666666667,0.967741935483871
"Cadillacs",918.758620689655,0.878787878787879
"Caesar",738.545454545455,1
"Caiman",897.4,0.15625
"Cain",702.37037037037,0.818181818181818
"Cairo",722.285714285714,0.903225806451613
"Calcutta",764.7,0.606060606060606
"California",701.088235294118,1
"California's",745.090909090909,1
"Californians",844.53125,0.941176470588235
"Caligula",835.8,0.3125
"Calvary",663.69696969697,1
"Calvin",655.75,1
"Calvinism",874.826086956522,0.71875
"Calvinist",820.333333333333,0.818181818181818
"Cambodia",760.241379310345,0.878787878787879
"Cambodia's",868.653846153846,0.838709677419355
"Cambodian",906.62962962963,0.870967741935484
"Cambridge",777.823529411765,0.971428571428571
"Camelot",670.129032258065,0.939393939393939
"Canada",573.939393939394,1
"Canada's",669.969696969697,1
"Canadian",734.193548387097,0.939393939393939
"Canadian's",709.294117647059,1
"Canadians",697.142857142857,1
"Canterbury",904.806451612903,0.96875
"Cantonese",863.782608695652,0.71875
"Capistrano",988.454545454545,0.34375
"Capitol",693.225806451613,0.96875
"Capitoline",966.666666666667,0.2
"Capricorn",755.3125,0.96969696969697
"Caracas",829.384615384615,0.764705882352941
"Caribbean",700.939393939394,0.970588235294118
"Carl",577.0625,1
"Carmelite",909,0.419354838709677
"Carmen",742.516129032258,0.911764705882353
"Carnegie",770.076923076923,0.764705882352941
"Caroline",756,1
"Carter",647.852941176471,1
"Carters",787.107142857143,0.933333333333333
"Cartesian",1077.85714285714,0.67741935483871
"Carthage",899.65,0.645161290322581
"Casanova",823.068965517241,0.852941176470588
"Cassiopeia",1002.27272727273,0.354838709677419
"Castro",750.566666666667,0.909090909090909
"Castro's",714.838709677419,0.911764705882353
"Castroism",1101.75,0.242424242424242
"Catherine",658.151515151515,0.970588235294118
"Catherine's",690.90625,1
"Catholic",635.971428571429,1
"Catholicism",942.774193548387,0.939393939393939
"Catholics",661.133333333333,1
"Cathy",674.030303030303,1
"Caucasia",855.928571428571,0.451612903225806
"Caucasian",793.8,0.909090909090909
"Caucasus",917.75,0.645161290322581
"Cecil",743.516129032258,0.885714285714286
"Cecilia",850.37037037037,0.84375
"Celsius",795.931034482759,0.90625
"Celt",791.190476190476,0.65625
"Celtic",664.441176470588,1
"Chablis",955.5,0.4
"Chad",633.033333333333,0.9375
"Charles",705,0.96969696969697
"Charles's",803.777777777778,0.870967741935484
"Charleston",793.322580645161,0.96875
"Charlie",671.75,0.96969696969697
"Charlotte",699.969696969697,0.970588235294118
"Chattanooga",903.115384615385,0.8125
"Chaucer",690.166666666667,0.774193548387097
"Cherokee",635.129032258065,0.939393939393939
"Cherokees",726.483870967742,1
"Chesapeake",957.590909090909,0.709677419354839
"Cheshire",807.411764705882,0.515151515151515
"Chevrolet",765.176470588235,1
"Chevy",646.677419354839,0.96875
"Cheyenne",721.607142857143,0.875
"Cheyennes",943.142857142857,0.617647058823529
"Chianti",1000.72727272727,0.333333333333333
"Chicago",630.545454545455,1
"Chicago's",633.823529411765,1
"Chicano",784.470588235294,0.515151515151515
"Chihuahua",953.095238095238,0.7
"Chile",694.066666666667,0.9375
"Chimera",895.75,0.352941176470588
"China",605.058823529412,1
"China's",620.125,0.96969696969697
"Chinaman",1005.125,0.774193548387097
"Chinatown",739.290322580645,0.939393939393939
"Chinese",670.068965517241,0.966666666666667
"Chinook",825.083333333333,0.387096774193548
"Chippendale",1028.5652173913,0.766666666666667
"Choctaw",1052.88888888889,0.290322580645161
"Choctaws",885,0.354838709677419
"Christ",568,0.96875
"Christ's",697.029411764706,1
"Christen",969.764705882353,0.53125
"Christendom",1058,0.46875
"Christian",670.34375,0.96969696969697
"Christianity",832.733333333333,1
"Christianizing",988.772727272727,0.814814814814815
"Christians",723.6875,1
"Christine",826.59375,0.941176470588235
"Christine's",782.290322580645,0.911764705882353
"Christlike",969.8,0.9375
"Christmas",716.90625,1
"Christopher",720.59375,1
"Chrysler",754.558823529412,1
"Chrysler's",728.3,0.909090909090909
"Churchill",698.121212121212,0.970588235294118
"Churchill's",804.818181818182,0.970588235294118
"Cicero",866.25,0.848484848484849
"Cicero's",829.208333333333,0.75
"Cincinnati",783.393939393939,1
"Cinderella",686.264705882353,1
"Clair",740.464285714286,0.848484848484849
"Claire",666.344827586207,0.935483870967742
"Clara",696.066666666667,0.909090909090909
"Clare",880.615384615385,0.8125
"Clarence",775.266666666667,0.909090909090909
"Clark",616.870967741935,0.96875
"Clark's",671.75,1
"Claude",710.307692307692,0.8125
"Claude's",750.46875,0.96969696969697
"Claudia's",698.774193548387,0.939393939393939
"Claus",835.16,0.714285714285714
"Clearwater",745.548387096774,0.96875
"Cleveland",727.1875,1
"Clinton",677.916666666667,1
"Clyde",827.766666666667,0.9375
"Cockney",857.916666666667,0.375
"Coke",556.870967741935,0.96875
"Cokes",631.515151515152,1
"Coleridge",842,0.28125
"Coleridge's",941.333333333333,0.454545454545455
"Colombia",742.384615384615,0.838709677419355
"Colombian",764.833333333333,0.909090909090909
"Colorado",585.411764705882,1
"Colorado's",670.806451612903,0.96875
"Colosseum",827.566666666667,0.882352941176471
"Columbia",738.911764705882,1
"Columbus",632.78125,1
"Comanche",882.833333333333,0.580645161290323
"Comforter",855.161290322581,1
"Concorde",788.758620689655,0.852941176470588
"Conestoga",913.75,0.114285714285714
"Confucian",955.428571428571,0.466666666666667
"Confucianism",906.235294117647,0.586206896551724
"Confucius",801.458333333333,0.827586206896552
"Congo",690.290322580645,1
"Congo's",762.413793103448,0.935483870967742
"Congregationalism",1237.08333333333,0.857142857142857
"Congregationalist",1049.84615384615,0.838709677419355
"Congregationalists",1217.14285714286,0.67741935483871
"Connecticut",868.193548387097,0.939393939393939
"Connecticut's",817.741935483871,0.939393939393939
"Connie",665.58064516129,0.885714285714286
"Connor",780.413793103448,0.878787878787879
"Conrad",720.793103448276,0.935483870967742
"Constantine",919.827586206897,0.90625
"Constantinople",1031.44,0.806451612903226
"Coolidge",824.47619047619,0.65625
"Coolidge's",978.777777777778,0.771428571428571
"Copenhagen",911.689655172414,0.90625
"Copernican",1108.33333333333,0.483870967741935
"Copernicus",818.481481481482,0.818181818181818
"Copland",814.9,0.625
"Corinth",930.37037037037,0.794117647058823
"Corinthian",956.115384615385,0.866666666666667
"Corinthians",839.3,0.909090909090909
"Cornell",834.875,0.941176470588235
"Cornish",866.923076923077,0.838709677419355
"Cornwallis",1050.35714285714,0.4375
"Coronado",1077.25,0.516129032258065
"Courtney",780.969696969697,0.970588235294118
"Coventry",939.45,0.714285714285714
"Craig",698.821428571429,0.875
"Craig's",768.30303030303,1
"Creole",736.785714285714,0.875
"Cristo",962.8,0.588235294117647
"Cromwell",768.461538461538,0.787878787878788
"Cromwell's",804.76,0.735294117647059
"Cromwellian",1046.33333333333,0.28125
"Cuba",609.225806451613,1
"Cuba's",654.774193548387,0.96875
"Cuban",650.323529411765,1
"Cubans",696.607142857143,0.848484848484849
"Curie",885.4,0.645161290322581
"Custer",819.347826086957,0.741935483870968
"Custer's",886.1,0.9375
"Cyclades",1188.2,0.161290322580645
"Cyclops",726.103448275862,0.90625
"Cynthia",693.529411764706,1
"Cyprian",807.833333333333,0.529411764705882
"Cyprus",740.566666666667,0.909090909090909
"Czech",791.625,0.705882352941177
"Czechoslovakia",1089.14285714286,0.67741935483871
"Dadaism",924.2,0.142857142857143
"Dakota",676.5625,0.941176470588235
"Dali",741.285714285714,0.65625
"Dallas",646.096774193548,0.96875
"Dalmatian",854.620689655172,0.878787878787879
"Dalton",710.545454545455,0.6875
"Damascus",991.166666666667,0.6
"Dan",565.483870967742,1
"Dana",672,0.96875
"Dana's",661.172413793103,0.966666666666667
"Dane",676.730769230769,0.787878787878788
"Danes",791.5,0.774193548387097
"Daniel",681.6875,1
"Danish",722.28125,0.941176470588235
"Danny",639.161290322581,0.939393939393939
"Dante",785.36,0.78125
"Dante's",760.366666666667,0.882352941176471
"Danube",780.894736842105,0.59375
"Danubian",1003.11111111111,0.264705882352941
"Daphne",713.48,0.757575757575758
"Darlene",709.8,0.909090909090909
"Dartmouth",931.066666666667,0.882352941176471
"Darwin",693.333333333333,0.967741935483871
"Darwin's",680.15625,1
"Darwinism",808.392857142857,0.8
"Dave",564.090909090909,1
"Dave's",620.4,0.967741935483871
"Davenport",769,0.878787878787879
"David",622.4375,0.96969696969697
"David's",644.862068965517,0.90625
"Dearborn",806.761904761905,0.636363636363636
"Decatur",803.444444444444,0.5625
"December",620.454545454545,0.970588235294118
"Degas",852.285714285714,0.205882352941176
"Delaware",684.53125,0.941176470588235
"Delhi",746.5,0.727272727272727
"Delphi",864.538461538462,0.866666666666667
"Delphic",749.636363636364,0.333333333333333
"Democrat",693.588235294118,1
"Democrats",747.441176470588,1
"Denmark",648.516129032258,0.96875
"Dennis",676.193548387097,0.96875
"Denny's",661.34375,0.96969696969697
"Denver",663.818181818182,1
"Denver's",691.933333333333,1
"Descartes",763.068965517241,0.935483870967742
"Detroit",699.612903225806,0.939393939393939
"Detroit's",727.096774193548,0.96875
"Deuteronomy",877.708333333333,0.75
"Deutschmark",988.285714285714,0.451612903225806
"Dewey",893.516129032258,0.911764705882353
"Dexedrine",1082.09090909091,0.758620689655172
"Dexter",728.21875,0.941176470588235
"Dexter's",751.071428571429,0.933333333333333
"Dharma",818.28,0.78125
"DiMaggio",813.388888888889,0.580645161290323
"Diana",623.59375,1
"Diane",648.515151515152,0.970588235294118
"Diane's",684.59375,0.941176470588235
"Dickens",786.689655172414,0.852941176470588
"Dickinson",878.529411764706,0.971428571428571
"Dictaphone",933.9,0.357142857142857
"Dijon",778.222222222222,0.5625
"Disneyland",681.71875,1
"Dixie",675.470588235294,1
"Dixiecrats",956,0.21875
"Dixieland",774,0.78125
"Doberman",1080.95454545455,0.666666666666667
"Dodger",754.193548387097,0.96875
"Dodgers",735.78125,1
"Domesday",970.058823529412,0.566666666666667
"Dominic",1035.08333333333,0.774193548387097
"Dominican",764.8,0.909090909090909
