"","word","mRT","acc"
"166","admit",602.473684210526,1
"167","admits",566.026315789474,1
"168","ado",779.733333333333,0.394736842105263
"169","adopt",545.789473684211,0.95
"170","adopts",580.384615384615,0.975
"171","adore",547,0.973684210526316
"172","adored",619.459459459459,1
"173","adores",613.692307692308,0.975
"174","adorn",578.648648648649,0.925
"175","adorned",720.894736842105,0.95
"176","adorns",678.741935483871,0.837837837837838
"177","adrift",676.90625,0.842105263157895
"178","adroit",710.666666666667,0.157894736842105
"179","ads",724,0.675
"180","adult",518.425,1
"181","adults",551.55,1
"182","adv",645.666666666667,0.075
"183","advance",562.225,1
"184","advanced",558.578947368421,1
"185","advent",603.594594594595,1
"186","adverb",663.894736842105,1
"187","adverbs",605.2,1
"188","adverse",573,1
"189","advert",530.675675675676,1
"190","adverts",542.325,1
"191","advice",527.513513513514,1
"192","advise",515.102564102564,0.975
"193","advised",577.921052631579,1
"194","adze",785.25,0.105263157894737
"195","adzes",659,0.025
"196","aegis",731.5,0.05
"197","aeon",724.266666666667,0.375
"198","aeons",758.214285714286,0.358974358974359
"199","aerial",563.051282051282,1
"200","aerials",618.948717948718,0.975
"201","aertex",896.5,0.105263157894737
"202","aesthete",749.6,0.256410256410256
"203","aesthetes",830.428571428571,0.194444444444444
"204","afar",751.242424242424,0.825
"205","affair",551.175,1
"206","affairs",579.157894736842,1
"207","affect",540.027027027027,0.973684210526316
"208","affects",565.210526315789,0.95
"209","affine",818.25,0.111111111111111
"210","affirm",610.277777777778,0.9
"211","affirmed",640.942857142857,0.921052631578947
"212","affirms",627.342857142857,0.875
"213","affix",696.678571428571,0.7
"214","affixed",648.551724137931,0.725
"215","afflict",633.472222222222,0.947368421052632
"216","afflicts",679.594594594595,0.925
"217","affluence",695.571428571429,0.897435897435897
"218","affluent",671.825,1
"219","afford",566.305555555556,0.947368421052632
"220","affords",660.088235294118,0.944444444444444
"221","affray",710.384615384615,0.65
"222","affrays",790.586206896552,0.725
"223","affront",806.405405405405,0.925
"224","affronts",762.090909090909,0.611111111111111
"225","afghan",807.166666666667,0.9
"226","afghans",732.135135135135,0.925
"227","afield",890.916666666667,0.315789473684211
"228","aflame",874.473684210526,0.5
"229","afloat",717.971428571429,0.875
"230","afoot",666.758620689655,0.743589743589744
"231","afore",762.294117647059,0.425
"232","afraid",524.487179487179,0.975
"233","afresh",694.354838709677,0.815789473684211
"234","afro",654.40625,0.842105263157895
"235","afros",705.869565217391,0.575
"236","aft",644,0.307692307692308
"237","after",517.8,1
"238","afters",639.243243243243,0.973684210526316
"239","again",534.179487179487,0.975
"240","against",513,0.975
"241","agape",841.416666666667,0.324324324324324
"242","agar",825.2,0.277777777777778
"243","agate",649,0.325
"244","agates",775.714285714286,0.35
"245","age",505.153846153846,0.975
"246","aged",552.4,1
"247","ageing",571.15,1
"248","ageless",649.030303030303,0.916666666666667
"249","agent",566.026315789474,1
